timestamp,utc,eth_close,eth_low,price_change_1h_pct,price_change_3h_pct,price_change_6h_pct,price_change_24h_pct,oi_close_usd,oi_change_1h_usd,oi_change_1h_pct,oi_change_3h_usd,oi_change_3h_pct,oi_change_6h_usd,oi_change_6h_pct,oi_change_24h_usd,oi_change_24h_pct,short_liquidations_usd,long_liquidations_usd,short_liq_3h_usd,long_liq_3h_usd,short_liq_6h_usd,long_liq_6h_usd,short_liq_24h_usd,long_liq_24h_usd,ls_ratio,ls_change_1h,ls_change_3h,ls_change_6h,ls_change_24h,funding_rate,funding_change_1h,funding_change_3h,funding_change_6h,funding_change_24h,oi_contracts,liq_contracts,funding_contracts,ls_contracts
1787328000,2026-08-21 16:00,2405.13,2383.0,0.505635115314054,0.7603750345625054,0.4342869551055898,2.610561703797881,13960950150.015486,69723406.64979362,0.5019240412521004,95211106.96455002,0.6866644949031171,171368980.0177021,1.242742458273877,509159360.5552139,3.78506749416702,1273246.0101700001,398711.1721,3224625.42645,1978070.9727300003,7405867.39826,12010401.140250001,113565993.43506531,41112023.916240744,2.108364190535857,-0.04220346990660673,-0.04617482828962993,-0.11591430572653127,0.016592035514297887,0.007475460671205601,-0.0008363112282898655,-0.0011814812092847526,-0.0013036874616264085,-7.706975738535401e-05,31.0,5.0,16.0,4.0
1787331600,2026-08-21 17:00,2422.98,2401.21,0.7421636252510221,1.246897381682649,2.217328574682965,3.409158806709065,14072078706.891064,111128556.87557793,0.7959956570395366,256157132.57476616,1.854071993655208,403443368.78585815,2.951599474317272,643695666.9835072,4.793545619532302,3523238.3682600004,202837.70529999997,6263253.99497,875493.50971,10419581.11719,4509439.33426,116251509.3278453,40985331.886840746,2.096975966158912,-0.0113882243769452,-0.07148621150732648,-0.09899011291985227,-0.03764640620712001,0.007012359333143098,-0.00046310133806250296,-0.00130562424198214,-0.0015652860820284465,-0.0010105528844066751,32.0,6.0,16.0,4.0
1787335200,2026-08-21 18:00,2419.8,2394.44,-0.13124334497188736,1.1186654575997785,1.342267825358609,4.517516769537111,13945280693.952435,-126798012.93862915,-0.9010609987317401,54053950.5867424,0.3891229449015942,133886965.97794724,0.9693950416225117,722676236.2738667,5.465460595050906,1099406.79188,1334437.3019200005,5895891.17031,1935986.1793200006,9171569.46397,5791481.98983,117225016.12606531,39367129.86700075,2.133313085752624,0.036337119593711886,-0.01725457468984004,0.0169702080667693,0.04975123091592071,0.006741405179642681,-0.00027095415350041757,-0.001570366719852786,-0.0017486587868718257,-0.00131546483315416,31.0,6.0,16.0,4.0
1787338800,2026-08-21 19:00,2412.41,2406.31,-0.3053971402595391,0.3026863412788392,1.0653629272134595,3.8614210925122294,13904755169.924698,-40525524.027736664,-0.2906038603103279,-56194980.09078789,-0.4025154411909819,39016126.87376213,0.2813851230909741,642471299.0344429,4.844348871498826,99566.79248000002,74522.69732,4722211.952620001,1611797.7045400005,7946837.379070001,3589868.677270001,116676842.20086531,39176522.11640075,2.1216268635849715,-0.01168622216765236,0.013262673049114326,-0.032912155240515606,0.08123995919068872,0.006622116405576489,-0.00011928877406619173,-0.0008533442656291123,-0.002034825474913865,-0.0010126855096084632,31.0,4.0,16.0,4.0
1787342400,2026-08-21 20:00,2440.07,2407.54,1.1465712710526117,0.705329800493613,1.9610219209908444,5.2866173329593735,14168511004.937677,263755835.0129795,1.8968750746756795,96432298.0466137,0.6852740100109803,352589430.62137985,2.5520514771655995,965183634.9517822,7.310154538361744,5797114.44417,234434.92641,6996088.02853,1643394.9256500006,13259342.023500001,2518888.4353600005,122331093.08027531,39297484.693930745,2.101751858096446,-0.0198750054885255,0.004775891937534027,-0.06671031956979245,0.06555735085879899,0.00719249813915734,0.0005703817335808506,0.0001801388060142413,-0.0011254854359678988,-0.0006166386294535432,31.0,7.0,16.0,4.0
1787346000,2026-08-21 21:00,2513.52,2433.12,3.010159544603221,3.8730473592858825,5.035039259850473,8.452636756672797,14423367292.088362,254856287.15068436,1.7987513794630063,478086598.1359272,3.4283038730318003,532140548.7226696,3.8307671349243106,1224861538.0155182,9.280304610524157,43044375.25149922,283831.88957,48941056.48814922,592789.5133,54836947.658459224,2528775.6926200003,165196529.28795454,39501859.09969075,2.087765195829559,-0.013986662266887162,-0.04554788992306502,-0.06280246461290506,0.05128302613020086,0.008994224275734474,0.0018017261365771342,0.002252819096091793,0.000682452376239007,0.001283498600271448,32.0,11.0,16.0,4.0
1787349600,2026-08-21 22:00,2522.0,2507.29,0.33737547343963914,4.542760144419901,4.859196800172959,9.020330000475509,14459860137.480497,36492845.39213562,0.25301196768491785,555104967.5557995,3.9921951934577335,498909987.4650116,3.5736105501706,1261923726.7280674,9.561523009763642,16850756.25572,946911.61244,65692245.95138922,1465178.42842,70414457.90400922,3076976.1329600005,182018324.96620452,39864417.38662075,2.266172346409028,0.17840715057946932,0.14454548282405666,0.15780815587317099,0.23435380603447564,0.00876308611501008,-0.0002311381607243944,0.0021409697094335904,0.0012876254438044781,0.0010527376006440959,31.0,8.0,16.0,4.0
1787353200,2026-08-21 23:00,2515.97,2509.08,-0.2390959555908089,3.110566500141374,3.8378360531246556,8.158869906885966,14483409878.165928,23549740.685430527,0.16286285248630256,314898873.2282505,2.222526228186641,411331171.2748642,2.9230306328050615,1199171175.4718761,9.027022190053566,1964032.8240299996,646932.23897,61859164.33124922,1877675.74098,68855252.35977922,3521070.6666300003,182186328.00341454,39868246.31141075,2.288147423939105,0.02197507753007688,0.18639556584265904,0.19117145778019307,0.2678521426849314,0.009324172649078312,0.0005610865340682329,0.0021316745099209727,0.002311813315935214,0.0016354863559086448,29.0,5.0,16.0,4.0
1787356800,2026-08-22 00:00,2521.69,2488.88,0.22734770287405076,0.32504217193418283,4.210678568476728,7.766832624628742,14627295440.640055,143885562.47412682,0.9934508771379701,203928148.55169296,1.413873365504278,682014746.6876202,4.890649113885426,1286646431.1721878,9.64455649990532,739277.32490499,5386321.27162,19554066.40465499,6980165.123029999,68495122.8928042,7572954.63633,173822666.47059953,45149060.618900746,2.252887146351648,-0.03526027758745709,0.1651219505220891,0.11957406059902409,0.22186990346570923,0.008490955829914217,-0.0008332168191640954,-0.0005032684458202569,0.0017495506502715362,0.0019301338408355129,29.0,7.0,16.0,4.0
1787360400,2026-08-22 01:00,2506.28,2506.22,-0.6110981127735706,-0.6233148295003886,3.8911296172707104,6.256385905855326,14462113165.238733,-165182275.4013214,-1.1292742125272437,2253027.7582359314,0.015581255536462618,557357995.3140354,4.008398483128802,1080689284.6869297,8.076041042669413,1243107.22862,213677.49873999998,3946417.3775549894,6246931.00933,69638663.3289442,7712109.43775,159543071.81299004,44364123.74886075,2.2381835846263276,-0.014703561725320391,-0.0279887617827006,0.11655672104135606,0.21087955299543992,0.007938809920718427,-0.0005521459091957902,-0.0008242761942916527,0.0013166935151419376,0.0006615654257342276,30.0,5.0,16.0,4.0
